Timestamp,Asset,LastClosePrice,MovingAverage,StdDev,RSI,MACD,MACD_Signal,TraderSentiment
2025-06-04T22:59:46.407489,EURUSD-OTC,1.133605,1.1339143333333335,0.00023612049654547234,37.99999999999793,-0.00015214428614096498,-0.00013783878318750082,0.582519471907803
2025-06-04T23:26:20.453805,EURUSD-OTC,1.134735,1.1346614285714285,0.00013387665660477847,67.4064904980537,0.00019145385153640504,0.0002152531628734341,0.48306561120439073
2025-06-04T23:29:16.830323,EURUSD-OTC,1.134985,1.1347314285714287,0.0001650803762179006,71.10107003109565,0.00016684873017158708,0.00016556956765009884,0.5020902831814948
2025-06-04T23:31:20.369161,EURUSD-OTC,1.134915,1.1348028571428572,0.00017101288888052692,63.787662368926135,0.00015708115151924495,0.00014869441300271484,0.43228736070303625
2025-06-04T23:34:25.993781,EURUSD-OTC,1.135255,1.13496,0.00018172781845384427,68.9021386896533,0.00015441517789627213,0.00010735060111042457,0.49397830478901744
2025-06-04T23:48:00.084001,EURUSD-OTC,1.134975,1.1350678571428572,0.00010937671281455794,53.01253644176525,8.51739471683377e-05,0.00010880768544642727,0.6263694678061138
2025-06-04T23:59:48.829577,EURUSD-OTC,1.134955,1.1349242857142856,0.00010990023305022863,48.50826649997418,-2.6305321278563554e-05,-3.15463558667238e-05,0.5232239293811264
2025-06-05T00:12:16.773205,EURUSD-OTC,1.134455,1.1346828571428573,0.00013245908109020782,33.012928822375656,-0.0001330878863703422,-0.00010863274908358867,0.4320967176211847
2025-06-05T00:12:29.975932,EURUSD-OTC,1.134555,1.1346900000000002,0.00012228479639173786,38.061060635845074,-0.00012511067839282575,-0.00010703730748808538,0.33380711783185774
2025-06-05T00:12:43.209140,EURUSD-OTC,1.134545,1.1346892857142856,0.0001230977709972382,37.565417131543526,-0.00012590839919068841,-0.00010719685164765791,0.3422162030816585
2025-06-05T00:12:56.435107,EURUSD-OTC,1.134545,1.1346892857142856,0.0001230977709972382,37.565417131543526,-0.00012590839919068841,-0.00010719685164765791,0.4011001510920644
2025-06-05T00:13:09.652595,EURUSD-OTC,1.134485,1.1346514285714286,0.00011468012300413949,32.45763635538293,-0.00014430940594212238,-0.00012703395194130508,0.4120588988376528
2025-06-05T00:13:23.003147,EURUSD-OTC,1.134465,1.1346500000000002,0.00011684849775914418,31.87936559368498,-0.00014590484753740363,-0.00012735304026036134,0.3155787699707994
2025-06-05T00:13:36.320979,EURUSD-OTC,1.134375,1.1346435714285714,0.0001287221338974148,29.51320996859016,-0.00015308433471683536,-0.00012878893769624768,0.425548311407159
2025-06-05T00:13:49.669545,EURUSD-OTC,1.134425,1.134647142857143,0.00012172442949010696,30.782512647235563,-0.0001490957307284102,-0.00012799121689856266,0.6739909632775989
2025-06-05T00:14:02.923769,EURUSD-OTC,1.134465,1.1346357142857142,0.00012486931944546696,32.74913678118982,-0.00014048137250166626,-0.00012243821299204733,0.468100640573095
2025-06-05T00:14:16.113571,EURUSD-OTC,1.134495,1.134637857142857,0.00012214912264631606,34.32290440979257,-0.00013808821010852235,-0.00012195958051341855,0.5931709563753146
2025-06-05T00:14:29.372650,EURUSD-OTC,1.134545,1.1346414285714286,0.0001185993942924336,37.2740425791785,-0.0001340996061196531,-0.0001211618597156447,0.6219761965206423
2025-06-05T00:14:42.609137,EURUSD-OTC,1.134585,1.1346442857142855,0.0001167086901963511,39.45062567086309,-0.00013090872292886857,-0.0001205236830774878,0.43982097254819186
2025-06-05T00:14:55.791775,EURUSD-OTC,1.134605,1.1346457142857143,0.00011609505254096719,40.483237873558195,-0.00012931328133336528,-0.00012020459475838714,0.5438951383492189
2025-06-05T00:23:30.640314,EURUSD-OTC,1.134715,1.1346685714285714,0.00014435111671878758,44.9987500465947,-1.4807103825287271e-05,-5.03233811323134e-05,0.5760036495018632
2025-06-05T00:25:13.109088,EURUSD-OTC,1.134745,1.134699285714286,0.00013102422271771104,46.727627920796074,-8.17307938394407e-06,-3.09958471542554e-05,0.4639563113659763
2025-06-05T00:26:13.287394,EURUSD-OTC,1.134655,1.1347021428571429,0.00011990642610141428,44.10900935033106,-1.4001901024185415e-05,-1.9725499258514764e-05,0.5096768713756583
